time,RegionName,value
2011-02-01,76021,168000.0
2011-02-01,75019,257900.0
2011-02-01,76040,138000.0
2011-02-01,43221,219500.0
2011-02-01,77840,145500.0
2011-02-01,78748,184100.0
2011-02-01,78626,150100.0
2011-02-01,37129,142400.0
2011-02-01,43214,193300.0
2011-02-01,80910,124300.0
2011-02-01,70663,107700.0
2011-02-01,78728,174100.0
2011-02-01,75287,229400.0
2011-02-01,58078,169500.0
2011-02-01,76108,100300.0
2011-03-01,99301,160100.0
2011-03-01,76051,227100.0
2011-03-01,78210,67900.0
2011-03-01,76039,153200.0
2011-03-01,75028,228800.0
2011-03-01,15217,208400.0
2011-03-01,75035,239900.0
2011-03-01,2453,377000.0
2011-03-01,78602,127700.0
2011-03-01,76116,115400.0
2011-03-01,76021,167600.0
2011-03-01,75019,257600.0
2011-03-01,76040,136100.0
2011-03-01,43221,217800.0
2011-03-01,77840,145700.0
2011-03-01,78748,183600.0
2011-03-01,78626,150300.0
2011-03-01,37129,141900.0
2011-03-01,43214,191900.0
2011-03-01,80910,123800.0
2011-03-01,70663,106500.0
2011-03-01,78728,174000.0
2011-03-01,75287,230100.0
2011-03-01,58078,170300.0
2011-03-01,76108,100000.0
2011-04-01,99301,159100.0
2011-04-01,76051,225100.0
2011-04-01,78210,67900.0
2011-04-01,76039,152400.0
2011-04-01,75028,229200.0
2011-04-01,15217,207600.0
2011-04-01,75035,239100.0
2011-04-01,2453,377900.0
2011-04-01,78602,128300.0
2011-04-01,76116,114300.0
2011-04-01,76021,167100.0
2011-04-01,75019,258400.0
2011-04-01,76040,134400.0
2011-04-01,43221,216900.0
2011-04-01,77840,146000.0
2011-04-01,78748,183200.0
2011-04-01,78626,150100.0
2011-04-01,37129,141200.0
2011-04-01,43214,191700.0
2011-04-01,80910,123400.0
2011-04-01,70663,104100.0
2011-04-01,78728,173900.0
2011-04-01,75287,230900.0
2011-04-01,58078,171100.0
2011-04-01,76108,100400.0
2011-05-01,99301,158200.0
2011-05-01,76051,223400.0
2011-05-01,78210,68400.0
2011-05-01,76039,151400.0
